model,graph_family,n_graphs,approximation_ratio_mean,approximation_ratio_ci_low,approximation_ratio_ci_high,p_opt_mean,p_opt_ci_low,p_opt_ci_high,target_success_mean,target_success_ci_low,target_success_ci_high,n_evaluations_mean,n_evaluations_ci_low,n_evaluations_ci_high
agnostic_xx,complete,5,0.9999891493906755,0.9999891493906755,0.9999891493906755,0.999919338638924,0.999919338638924,0.999919338638924,1.0,1.0,1.0,649.84,649.8399999999999,649.8399999999999
agnostic_xx,erdos_renyi,50,0.981684119041107,0.9753398443203393,0.9877450836193306,0.8037422543711213,0.7396298012129368,0.86339447595248,0.7839999999999999,0.716,0.848,667.4960000000001,645.7436999999999,689.3720999999999
agnostic_xx,regular,40,0.978046410925663,0.9713181126160868,0.9845600273901066,0.7753464139359325,0.7140382548675642,0.8379916478517724,0.7150000000000001,0.65,0.7849999999999999,739.165,718.999625,759.16525
qaoa_p1,complete,5,0.9418723572392069,0.9418723572392071,0.9418723572392071,0.5710122582711296,0.5710122582711296,0.5710122582711296,0.0,0.0,0.0,42.4,42.4,42.4
qaoa_p1,erdos_renyi,50,0.7802203566199026,0.7645993778010345,0.7966901174610259,0.21205907654150433,0.17969605687008958,0.24621535810477696,0.04,0.0,0.1,43.056000000000004,41.968,44.176
qaoa_p1,regular,40,0.7960269677884085,0.7878399975572141,0.8040343292326444,0.16262715273221157,0.1504702136329337,0.17486718225122028,0.0,0.0,0.0,41.53,40.64,42.489999999999995
qaoa_p3,complete,5,0.9874206917328318,0.9874206917328318,0.9874206917328318,0.8881043902147556,0.8881043902147555,0.8881043902147555,0.64,0.64,0.64,611.04,611.04,611.04
qaoa_p3,erdos_renyi,50,0.8720359552626398,0.8611820278987984,0.8829719073139182,0.37857764472444144,0.3397634987211923,0.41715063038768996,0.10800000000000001,0.055999999999999994,0.16,705.0600000000002,647.838,760.8641
qaoa_p3,regular,40,0.902214161033935,0.8944425520774872,0.909469750284287,0.43312371081065243,0.4029487384038491,0.46374704835464925,0.0,0.0,0.0,777.775,733.0895,820.7883750000001
qaoa_p5,complete,5,0.9955276981231886,0.9955276981231886,0.9955276981231886,0.9668487363127161,0.9668487363127161,0.9668487363127161,0.8400000000000001,0.8400000000000001,0.8400000000000001,694.64,694.64,694.64
qaoa_p5,erdos_renyi,50,0.9057260611129548,0.8967695484443755,0.9147063825111862,0.4656868278335336,0.4282917508601536,0.5035579520970431,0.22399999999999998,0.18,0.272,900.212,847.3870000000001,953.4444000000001
qaoa_p5,regular,40,0.928969610641869,0.9214558715921097,0.936020584082204,0.5505168777884867,0.5121121211202185,0.5895269531050884,0.075,0.034999999999999996,0.12,994.865,989.6049999999999,1000.0
rx,complete,5,0.9999999998590756,0.9999999998590756,0.9999999998590756,0.999999998083716,0.9999999980837158,0.9999999980837158,1.0,1.0,1.0,161.6,161.6,161.6
rx,erdos_renyi,50,0.9754923292497594,0.9692557448421318,0.981486436019652,0.7399999229022604,0.6799999986219337,0.7999998472666078,0.74,0.68,0.7999999999999998,217.82000000000005,202.1678,235.4961
rx,regular,40,0.979340277319954,0.9716675208999273,0.9865481565774421,0.8099999968354179,0.7349999973422826,0.8799999963990675,0.8099999999999999,0.735,0.8800000000000001,221.28000000000003,216.52475,226.275125
ry,complete,5,0.9999999998590756,0.9999999998590756,0.9999999998590756,0.999999998083716,0.9999999980837158,0.9999999980837158,1.0,1.0,1.0,161.6,161.6,161.6
ry,erdos_renyi,50,0.9754923292497594,0.9693419983838614,0.9815523402779682,0.7399999229022604,0.6799999985740489,0.799999771237148,0.74,0.68,0.7999999999999998,217.82000000000005,201.6679,235.8482
ry,regular,40,0.979340277319954,0.9717800209241185,0.9866699113909324,0.8099999968354179,0.7349999974543103,0.8799999965241074,0.8099999999999999,0.7350000000000001,0.8800000000000001,221.28000000000003,216.689875,226.26499999999996
ryrz,complete,5,0.9999999999372647,0.9999999999372647,0.9999999999372647,0.9999999992520877,0.9999999992520877,0.9999999992520877,1.0,1.0,1.0,262.15999999999997,262.15999999999997,262.15999999999997
ryrz,erdos_renyi,50,0.9751950937597716,0.9684518206860773,0.9813289880640963,0.7359999656511714,0.6759999802751642,0.7919999809316842,0.7360000000000001,0.676,0.792,326.58799999999997,307.71479999999997,349.04869999999994
ryrz,regular,40,0.9803723289027271,0.9735361243132671,0.9870176681162717,0.8149999989621612,0.7499999989833814,0.8799999988374686,0.8150000000000001,0.75,0.875,352.71000000000004,347.36,357.98
