model,n,n_graphs,approximation_ratio_mean,approximation_ratio_ci_low,approximation_ratio_ci_high,p_opt_mean,p_opt_ci_low,p_opt_ci_high,target_success_mean,target_success_ci_low,target_success_ci_high,n_evaluations_mean,n_evaluations_ci_low,n_evaluations_ci_high
agnostic_xx,4,11,0.9999998941012911,0.9999996843204955,0.9999999991918235,0.9999998933510527,0.9999996836400742,0.9999999985761784,1.0,1.0,1.0,258.6181818181818,220.8536363636364,297.01863636363635
agnostic_xx,6,21,0.9863944434568795,0.9741496117945576,0.9959183064921857,0.9095236577148352,0.8333331764883828,0.9714283433772776,0.8857142857142858,0.8095238095238095,0.9523809523809523,487.75238095238103,443.06595238095235,537.8288095238095
agnostic_xx,8,21,0.9846187769548186,0.9764371060563015,0.9914455805775425,0.8469453709509235,0.7628166957547504,0.9135553258816554,0.7904761904761906,0.7047619047619047,0.8666666666666668,688.695238095238,649.379761904762,727.8480952380953
agnostic_xx,10,21,0.9736452116057374,0.9637941425851194,0.9831091958893976,0.6966302806682512,0.5847982601818749,0.8044067364744955,0.6571428571428573,0.5333333333333333,0.7714285714285714,869.4190476190475,846.0664285714287,892.352857142857
agnostic_xx,12,21,0.9699134394549954,0.9564389685909106,0.9824463462258206,0.6516896022053429,0.5243887037838864,0.7769453438186713,0.6095238095238095,0.4761904761904761,0.7428571428571429,970.6000000000001,952.1328571428572,986.0195238095239
qaoa_p1,4,11,0.8588071890778167,0.8048350546070514,0.9129497438216422,0.6679013769331225,0.5471283270479301,0.7843557476429176,0.18181818181818182,0.0,0.45454545454545453,48.54545454545455,45.43590909090909,52.25454545454545
qaoa_p1,6,21,0.8095887227226477,0.784255730731966,0.8344897440822149,0.34213153639968263,0.28422469615539675,0.3977800276107711,0.0,0.0,0.0,42.55238095238095,41.05714285714286,44.038333333333334
qaoa_p1,8,21,0.7820138645903776,0.764939377004713,0.8017709904464978,0.13321361090469871,0.09551919648035015,0.1791137229805168,0.0,0.0,0.0,41.59047619047619,40.076190476190476,43.2
qaoa_p1,10,21,0.778873875943586,0.7584162417136557,0.8049291584358079,0.07414618737378359,0.03486165663845292,0.1359832620268142,0.0,0.0,0.0,40.904761904761905,39.63809523809524,42.23809523809524
qaoa_p1,12,21,0.7778368343086993,0.7551044626128768,0.8042669009079735,0.05127943110540543,0.024793258324068652,0.09470915878716275,0.0,0.0,0.0,41.23809523809524,39.828571428571436,42.7047619047619
qaoa_p3,4,11,0.9812633957687176,0.9671159827297237,0.9932038691531563,0.9547065616870399,0.9196636037591979,0.9836379732833762,0.5636363636363636,0.3090909090909091,0.8181818181818182,484.74545454545455,290.7795454545454,678.8645454545454
qaoa_p3,6,21,0.9259844554941494,0.9046925394117066,0.9453313340536382,0.6937148689811421,0.5917940017580335,0.786186914182768,0.05714285714285714,0.0,0.1619047619047619,769.2857142857143,718.9404761904763,821.0871428571428
qaoa_p3,8,21,0.8710980119767862,0.8495659444792217,0.8930885293237985,0.3564877025776087,0.2741953307301019,0.4441706239551128,0.02857142857142857,0.0,0.0857142857142857,725.4095238095239,656.0185714285715,786.2383333333332
qaoa_p3,10,21,0.8650378316765874,0.8452950407462487,0.8850358246167759,0.21840618473986848,0.14522498175715257,0.3051948745973136,0.01904761904761905,0.0,0.05714285714285715,808.5904761904762,746.2566666666668,866.8019047619047
qaoa_p3,12,21,0.8537640013142704,0.8300925339530442,0.8768042028740837,0.16913316947111925,0.10500621048470969,0.24604435402721675,0.009523809523809525,0.0,0.028571428571428574,748.4761904761903,673.0742857142857,822.8290476190475
qaoa_p5,4,11,0.9958573140107299,0.9926051795140595,0.9987921795292727,0.9886205437192178,0.9798076297985863,0.9966481238197469,0.890909090909091,0.7999999999999999,0.9818181818181819,525.2181818181818,285.79727272727274,762.4186363636361
qaoa_p5,6,21,0.9549824616948269,0.9403747610901039,0.968358466414207,0.8035113778416827,0.7229402012467196,0.8749487270897148,0.3047619047619048,0.17142857142857143,0.45714285714285713,971.6857142857143,919.2095238095237,1000.0
qaoa_p5,8,21,0.9061918371011283,0.8879844727118551,0.9246282465445853,0.4903045720351367,0.3979469323000589,0.5824960163293342,0.047619047619047616,0.0,0.14285714285714285,984.8761904761903,970.733095238095,996.5714285714286
qaoa_p5,10,21,0.8942899451815886,0.8751370688796646,0.9129891736505513,0.3147423436297384,0.2240666700345247,0.4177375919973558,0.0380952380952381,0.0,0.1142857142857143,989.7809523809525,976.847619047619,1000.0
qaoa_p5,12,21,0.8858831616329519,0.8649025790755258,0.9058936232199201,0.2611766685824105,0.17411846130703598,0.3613372733288499,0.01904761904761905,0.0,0.05714285714285715,982.2761904761907,964.1233333333332,997.0285714285714
rx,4,11,0.9999999995223,0.9999999992737066,0.9999999997055257,0.999999999121118,0.999999998860902,0.9999999993727611,1.0,1.0,1.0,74.47272727272728,69.67272727272729,79.60000000000001
