model,checkpoint,approximation_ratio,n_graphs
agnostic_xx,50,0.8263186890793232,95
agnostic_xx,100,0.8960823929744005,95
agnostic_xx,250,0.9592566142579778,95
agnostic_xx,500,0.9751573603095428,95
agnostic_xx,1000,0.9811154675142432,95
qaoa_p1,50,0.7953833338520875,95
qaoa_p1,100,0.7953837598739645,95
qaoa_p1,250,0.7953837598739645,95
qaoa_p1,500,0.7953837598739645,95
qaoa_p1,1000,0.7953837598739645,95
qaoa_p3,50,0.8596223964674367,95
qaoa_p3,100,0.8722818636653809,95
qaoa_p3,250,0.8831286489024868,95
qaoa_p3,500,0.8880418618455813,95
qaoa_p3,1000,0.8908120489175505,95
qaoa_p5,50,0.8597645573906383,95
qaoa_p5,100,0.8883866584975071,95
qaoa_p5,250,0.9058049123932477,95
qaoa_p5,500,0.9138436954398176,95
qaoa_p5,1000,0.9202151953814298,95
rx,50,0.943892101855608,95
rx,100,0.9723640160621895,95
rx,250,0.978131397548098,95
rx,500,0.9781684543627243,95
rx,1000,0.9784023949004235,95
ry,50,0.943892101855608,95
ry,100,0.9723640160621895,95
ry,250,0.978131397548098,95
ry,500,0.9781684543627243,95
ry,1000,0.9784023949004235,95
ryrz,50,0.9112025488882061,95
ryrz,100,0.9580936001850087,95
ryrz,250,0.9778011994866302,95
ryrz,500,0.9785808546204713,95
ryrz,1000,0.9786805033843149,95
