left,right,metric,graph_family,n_graphs,mean_difference,ci_low,ci_high
ry,qaoa_p5,approximation_ratio,erdos_renyi,50,0.06976626813680453,0.060435104116621015,0.07929758154917534
ry,qaoa_p5,p_opt,erdos_renyi,50,0.27431309506872664,0.21706562361105658,0.3281433472446416
ry,qaoa_p5,target_success,erdos_renyi,50,0.516,0.44400000000000006,0.5840000000000001
ry,qaoa_p5,n_evaluations,erdos_renyi,50,-682.3919999999999,-736.9298999999999,-625.6622
ry,agnostic_xx,approximation_ratio,erdos_renyi,50,-0.00619178979134765,-0.012435051715930446,0.00023377095157169365
ry,agnostic_xx,p_opt,erdos_renyi,50,-0.06374233146886095,-0.12353166022018855,0.001780327237026686
ry,agnostic_xx,target_success,erdos_renyi,50,-0.044000000000000004,-0.10799999999999998,0.020000000000000004
ry,agnostic_xx,n_evaluations,erdos_renyi,50,-449.676,-476.51210000000003,-420.88349999999997
ryrz,ry,approximation_ratio,erdos_renyi,50,-0.00029723548998791485,-0.003167775406025902,0.002365257509970882
ryrz,ry,p_opt,erdos_renyi,50,-0.003999957251088929,-0.032000028778692166,0.024000093571782267
ryrz,ry,target_success,erdos_renyi,50,-0.004,-0.032,0.024000000000000004
ryrz,ry,n_evaluations,erdos_renyi,50,108.76799999999999,95.384,121.91649999999998
ry,qaoa_match,approximation_ratio,erdos_renyi,50,0.08715572771238284,0.07604101321592174,0.09868804360627757
ry,qaoa_match,p_opt,erdos_renyi,50,0.33835629950274254,0.2782160197371117,0.39937694628944237
ry,qaoa_match,target_success,erdos_renyi,50,0.64,0.552,0.7240000000000001
ry,qaoa_match,n_evaluations,erdos_renyi,50,-581.948,-612.3883999999999,-550.9312
ry,local_search,approximation_ratio,erdos_renyi,50,0.019636510670707565,0.008807207248634541,0.03190672095710869
ry,local_search,target_success,erdos_renyi,50,0.1,0.032,0.168
ry,local_search,n_evaluations,erdos_renyi,50,192.556,176.90400000000002,210.3681
ry,qaoa_p5,approximation_ratio,regular,40,0.05037066667808528,0.04233177593607812,0.05878661294505046
ry,qaoa_p5,p_opt,regular,40,0.25948311904693117,0.19875281709475887,0.31717161668396004
ry,qaoa_p5,target_success,regular,40,0.735,0.65,0.8149999999999998
ry,qaoa_p5,n_evaluations,regular,40,-773.5849999999999,-780.23,-766.579625
ry,agnostic_xx,approximation_ratio,regular,40,0.0012938663942911321,-0.008046448073866903,0.010207356540857205
ry,agnostic_xx,p_opt,regular,40,0.03465358289948537,-0.031490983722472665,0.10357578656693271
ry,agnostic_xx,target_success,regular,40,0.09499999999999999,0.014999999999999986,0.175
ry,agnostic_xx,n_evaluations,regular,40,-517.885,-539.050625,-497.12987499999997
ryrz,ry,approximation_ratio,regular,40,0.0010320515827730997,-0.001692307371352595,0.003955128483492451
ryrz,ry,p_opt,regular,40,0.005000002126743421,-0.014999997817722838,0.02500000212315683
ryrz,ry,target_success,regular,40,0.005,-0.014999999999999996,0.025
ryrz,ry,n_evaluations,regular,40,131.43,125.829875,137.075
ry,qaoa_match,approximation_ratio,regular,40,0.050860666144581734,0.04391064855536603,0.05781667832714181
ry,qaoa_match,p_opt,regular,40,0.2751345427066537,0.21594812729553597,0.3307095321960927
ry,qaoa_match,target_success,regular,40,0.8099999999999999,0.735,0.8800000000000001
ry,qaoa_match,n_evaluations,regular,40,-717.5849999999999,-739.225125,-696.36
ry,local_search,approximation_ratio,regular,40,-0.0007996799450031344,-0.007601002045867474,0.005532291209637296
ry,local_search,target_success,regular,40,-0.0050000000000000044,-0.065,0.05
ry,local_search,n_evaluations,regular,40,185.32999999999998,180.714875,190.08025
