model,n,n_graphs,approximation_ratio_mean,approximation_ratio_ci_low,approximation_ratio_ci_high,p_opt_mean,p_opt_ci_low,p_opt_ci_high,target_success_mean,target_success_ci_low,target_success_ci_high,n_evaluations_mean,n_evaluations_ci_low,n_evaluations_ci_high
qaoa_match,4,11,0.9559377452879406,0.9244861268716447,0.9846872855792228,0.8776498722300524,0.7753736183053955,0.9599920338180076,0.5272727272727272,0.2545454545454545,0.8,289.41818181818184,199.67272727272723,376.2240909090908
qaoa_match,6,21,0.9259844554941494,0.9046885171219179,0.9452684479580724,0.6937148689811421,0.5913462006480381,0.7865683805740082,0.05714285714285714,0.0,0.1619047619047619,769.2857142857143,718.4814285714285,821.2380952380952
qaoa_match,8,21,0.8983765801418222,0.880718122767058,0.9161747609864644,0.43801232831411696,0.356088989962022,0.5229135774863799,0.02857142857142857,0.0,0.0857142857142857,964.1809523809524,940.6852380952381,984.7714285714286
qaoa_match,10,21,0.8942899451815886,0.8755273898769032,0.9137394549400479,0.3147423436297384,0.22541870376164458,0.41868697187559806,0.0380952380952381,0.0,0.1142857142857143,989.7809523809525,976.8847619047618,1000.0
qaoa_match,12,21,0.9012440179537672,0.8821967764565583,0.9198420657695136,0.2973711608686717,0.2051701376169582,0.40204972328306243,0.02857142857142857,0.0,0.0857142857142857,1000.0,1000.0,1000.0
ry,4,11,0.9999999995223,0.999999999273274,0.9999999997034549,0.999999999121118,0.999999998858604,0.9999999993721943,1.0,1.0,1.0,74.47272727272728,69.61772727272728,79.61818181818182
ry,6,21,0.9929705210891238,0.9834467115411999,0.9999999995140677,0.9523809502559943,0.8857142837428135,0.9999999976081372,0.9523809523809523,0.8857142857142858,1.0,122.66666666666667,116.76166666666667,127.98095238095236
ry,8,21,0.9667113818222962,0.9524428852651305,0.9800922370223538,0.7428571414426053,0.6283333310261997,0.8476190459650563,0.7428571428571429,0.6190476190476192,0.8571428571428571,207.2095238095238,187.39928571428567,231.82976190476188
ry,10,21,0.9708034117451408,0.9587802042412696,0.9822956622112317,0.6761902930562776,0.5428569600951062,0.8095232705931217,0.6761904761904762,0.5428571428571428,0.8095238095238095,273.32380952380953,245.84761904761905,310.72880952380945
ry,12,21,0.9718112358118302,0.9613260142024932,0.9813947663477526,0.6476190447030282,0.5333333302150117,0.7619047577891402,0.6476190476190476,0.523809523809524,0.7619047619047619,336.3714285714285,314.8380952380952,359.71428571428567
